date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:05:49	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202022%2002:05:48%20GMT	https://damnedbetagame.repl.co/robots.txt		(from )
05:05:49	23833/23833	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2002:05:49%20GMT	https://damnedbetagame.repl.co/	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/index.html	(from )
05:05:50	1058/1058	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2002:05:50%20GMT	https://damnedbetagame.repl.co/en-us.html	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/en-us.html	(from https://damnedbetagame.repl.co/)
05:05:51	21240/21240	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2002:05:50%20GMT	https://damnedbetagame.repl.co/pt-br.html	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/pt-br.html	(from https://damnedbetagame.repl.co/)
05:05:52	3672/3672	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2002:05:51%20GMT	https://damnedbetagame.repl.co/hemes/damned/assets/images/avicon85108510.html	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/hemes/damned/assets/images/avicon85108510.html	(from https://damnedbetagame.repl.co/)
05:05:53	265035/265035	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2002:05:52%20GMT	https://damnedbetagame.repl.co/themes/damned/assets/images/promo.html	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/themes/damned/assets/images/promo.html	(from https://damnedbetagame.repl.co/)
05:05:54	15086/15086	---M--	200	added ('OK')	%02	date:Mon,%2026%20Sep%202022%2002:05:53%20GMT	https://damnedbetagame.repl.co/themes/damned/assets/images/favicon851085108510.ico?v=0.2	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/themes/damned/assets/images/favicon8510851085108510.ico	(from https://damnedbetagame.repl.co/)
05:05:55	177798/177798	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Sep%202022%2002:05:54%20GMT	https://damnedbetagame.repl.co/themes/damned/assets/css/style.min5d245d245d24.css?v=1063455755	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/themes/damned/assets/css/style.min5d245d245d245d24.css	(from https://damnedbetagame.repl.co/)
05:05:55	56550/56550	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Sep%202022%2002:05:55%20GMT	https://damnedbetagame.repl.co/themes/damned/assets/images/damned.svg	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/themes/damned/assets/images/damned.svg	(from https://damnedbetagame.repl.co/)
05:05:56	1801/1801	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Sep%202022%2002:05:56%20GMT	https://damnedbetagame.repl.co/themes/damned/assets/images/orns/orn-fixed-bar.svg	C:/My%20Web%20Sites/qwe/damnedbetagame.repl.co/themes/damned/assets/images/orns/orn-fixed-bar.svg	(from https://damnedbetagame.repl.co/)
